nidId,latitude,longitude,drainageArea,maxDischarge
PA00757,41.44,-75.16,1.4000000000000001,
SD01071,43.981666999999995,-102.281667,,1365
OR04039,42.48332977,-119.4617004,1.2,2900
NY01213,43.06388889,-77.25055556,,1000
NY15078,42.52166667,-77.78944444,114,219
NJ00071,39.39296666666666,-75.19843333,7,288
OH00658,39.76361111,-82.24555556,0.11,109
NY01185,43.84005556,-74.38416667,16.8,3000
NE01012,40.077328,-96.47877867,0.8,1059
NE00052,41.08970424,-96.90077708,0.6,508
NC01085,34.974000000000004,-79.575,1145,40
NC02018,36.392,-79.35,1075,3675
MA00985,42.235397,-71.945977,2.98,
MA02348,42.245326999999996,-71.861094,0.49,
MN00370,45.267269999999996,-94.86658,149,1115
MA00708,42.11849167,-72.85718597,48,
MA00346,42.10709109,-70.9402686,3.38,
KY00058,38.522,-84.8494,0.24,
MA00081,42.374936,-72.7411,0.9400000000000001,
IL55144,41.88404,-88.03669,14.59,
IL00020,37.925889999999995,-89.03339,1,
IA02603,42.0039,-95.3414,1.29,0
IA01753,42.239200000000004,-95.9936,0.2,0
IA01942,42.6271,-95.575,0.25,0
IA00794,42.018,-95.8859,0.67,0
IA01737,42.3483,-96.1245,0.27,0
IA01567,40.644200000000005,-92.3708,0.55,0
